Date,Description,Amount,Type,Category
2026-01-05,bank  transfer rent,750.00,Expense,Rent
2026-01-04,CARD PAYMENT AMAZON NU#985L,24.99,Expense,Shopping
2026-01-02,*TRIP BIRMINGHM,8.40,Expense,Travel
2026-01-01,NETFLIX LDT8 GB,12.99,Expense,Entertainment
2026-01-04,AMZN MKTP UK *P00N JEQA,24.99,Expense,Shopping
2026-01-05,BANK 06b4G reNT,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK,24.99,Expense,Shopping
2026-01-01,NETFLIX T8,12.99,Expense,Entertainment
2026-01-06,salary credit 9qjp0,2500.00,Income,Salary
2026-01-06,BACS Tk5L SALarY,2500.00,Income,Salary
2026-01-04,CARD PAYMENT AMAZON 4K88K 6904,24.43,Expense,Shopping
2026-01-03,COSTA COFFEE #561,4.65,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *D9VVN5,24.99,Expense,Shopping
2026-01-02,UBER BV J93RVU,8.64,Expense,Travel
2026-01-02,UBER TRIP 3W1YA LONDON REF,8.40,Expense,Travel
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-03,CARD PMT STARBUCKS #1988,4.65,Expense,Food & Drink
2026-01-01,NETFLIX 3FK84R GB,12.99,Expense,Entertainment
2026-01-02,UBR* MANCHESTER 8E49,8.21,Expense,Travel
2026-01-06,BACS VC9AQ SALAR,2500.00,Income,Salary
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-06,PAYROLL  QDJ5C 891,2500.00,Income,Salary
2026-01-02,UBER TRIP RV97 LIVERPOOL DX6UZ,8.40,Expense,Travel
2026-01-02,U*bER TRiP NR#2kYB BirmInGhM,8.40,Expense,Travel
2026-01-06,SALARY  CREDIT N4BF,2500.00,Income,Salary
2026-01-01,NETFLIX.COM AYB1EY,12.99,Expense,Entertainment
2026-01-04,Amzn Mktp Uk *8Tre,24.99,Expense,Shopping
2026-01-02,UBER BV U8M8,8.42,Expense,Travel
2026-01-06,SALARY CREDIT ECSA,2500.00,Income,Salary
2026-01-06,Payroll 6Irj9 Ewho,2500.00,Income,Salary
2026-01-03,pos txn costa coffee 9984,4.65,Expense,Food & Drink
2026-01-04,Amzn Eu-Uk Fli*0,24.99,Expense,Shopping
2026-01-05,BANK  TRAnsFEr RENT DB5R,779.33,Expense,Rent
2026-01-01,Netflix,12.83,Expense,Entertainment
2026-01-05,BANK TRF ZJNN,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *CUIDC,26.12,Expense,Shopping
2026-01-04,amzn eu-uk hznw,24.99,Expense,Shopping
2026-01-04,AMZN MKTP UK *G41I,25.57,Expense,Shopping
2026-01-05,BANK TRANSFER RENT,750.00,Expense,Rent
2026-01-04,AMZN EU-UK 749Q6,23.78,Expense,Shopping
2026-01-06,SALARY CREDIT HRF#34,2500.00,Income,Salary
2026-01-05,BANK TRF WMLWW RENT,750.00,Expense,Rent
2026-01-04,CARD PAYMENT AMAZON 2Z682U,24.99,Expense,Shopping
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-03,PO*S STARBUCKS #4802 DJJZ,4.65,Expense,Food & Drink
2026-01-04,AMZN EU-UK W1XL1 1RTS,25.35,Expense,Shopping
2026-01-05,bank trf hif5,750.00,Expense,Rent
2026-01-02,UBER *TRIP LIVERPOOL,8.40,Expense,Travel
2026-01-04,AMAZON UK 0KYHVK,24.99,Expense,Shopping
2026-01-02,UBER *TRIP MANCHESTER,8.40,Expense,Travel
2026-01-06,PAYrOLL q*796E 6205,2500.00,Income,Salary
2026-01-03,POS STARBUCKS #97536,4.54,Expense,Food & Drink
2026-01-01,CARD PAYMENT NETFLIX,13.06,Expense,Entertainment
2026-01-03,STARBUCKS GLASGOW 63576,4.65,Expense,Food & Drink
2026-01-04,AMAZON 3TD3A,24.99,Expense,Shopping
2026-01-02,Uber Trip Rblbz5 London,8.40,Expense,Travel
2026-01-02,UBER *TRIP BIRMINGHM,8.40,Expense,Travel
2026-01-05,FPS RE*NT TO LANDLORD,750.00,Expense,Rent
2026-01-02,ubr* trip liverpool 8.40,8.40,Expense,Travel
2026-01-05,FPS  RENT T,750.00,Expense,Rent
2026-01-06,SALARY CREDIT,2500.00,Income,Salary
2026-01-01,NETFLIX CP52A GB,12.99,Expense,Entertainment
2026-01-04,AMZN MKTP UK *Z11B,24.99,Expense,Shopping
2026-01-05,BANK TRF Y9TW RENT,750.00,Expense,Rent
2026-01-01,NETFLIX KYNTL2 GB,12.43,Expense,Entertainment
2026-01-02,UBR* TRIP MANCHESTER 47O,8.44,Expense,Travel
2026-01-02,UBER BV YH*6UAM,8.40,Expense,Travel
2026-01-01,CARD PAYMENT NETFLIX A1HY,12.99,Expense,Entertainment
2026-01-02,UBER BV HMJZ,8.40,Expense,Travel
2026-01-06,Bacs Credit Payroll,2500.00,Income,Salary
2026-01-06,SALARY CREDIT 4K6I,2500.00,Income,Salary
2026-01-01,NETFLIX E2YK2 GB 26,12.99,Expense,Entertainment
2026-01-05,RENT LAN*DL,750.00,Expense,Rent
2026-01-05,RENT PAYMENT,750.00,Expense,Rent
2026-01-01,NETFLIX.COM CLLSA/WN,13.14,Expense,Entertainment
2026-01-05,ba*nk trf baep rent,750.00,Expense,Rent
2026-01-05,BANK TRF 0NQ8UT RENT,750.00,Expense,Rent
2026-01-06,EMPLOYER PAY DFI#25,2500.00,Income,Salary
2026-01-05,BANK TRF O9MN RENT,750.00,Expense,Rent
2026-01-03,STARBUCKS  LEE,4.65,Expense,Food & Drink
2026-01-04,AMAZON UK DVWs3,25.93,Expense,Shopping
2026-01-02,UBR* TRIP BIRMINGHM 8.40,8.40,Expense,Travel
2026-01-03,Costa Birm,4.65,Expense,Food & Drink
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-06,BACS  9QKAV8 SALARY,2500.00,Income,Salary
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-05,RENT 47O0 LANDLORD/IRD7,750.00,Expense,Rent
2026-01-06,BACS MDG3 SALARY,2500.00,Income,Salary
2026-01-04,amzn mktp uk *hgw10,24.99,Expense,Shopping
2026-01-05,RENT  PAYMENT,750.00,Expense,Rent
2026-01-01,CARD  PAYMENT NETFLIX,12.99,Expense,Entertainment
2026-01-06,Employer Pay 2I,2500.00,Income,Salary
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-06,EMPLOYER P,2500.00,Income,Salary
2026-01-04,AMAZON UK,24.99,Expense,Shopping
2026-01-05,BANK TRF FOGX8I RENT REF KG1R,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *NJD5SL,23.79,Expense,Shopping
2026-01-02,UBER TRIP RG0Z MANCHESTER,8.40,Expense,Travel
2026-01-02,UBER BV ACUEOB,8.40,Expense,Travel
2026-01-05,BANK  TRANSFER RENT,750.00,Expense,Rent
2026-01-04,Amzn Mktp Uk *Uf09U,24.99,Expense,Shopping
2026-01-01,NETFLIX.COM C6RANT,12.99,Expense,Entertainment
2026-01-06,BACS  TU#8PV2 SALARY,2500.00,Income,Salary
2026-01-06,EMPLOYER  PAY,2500.00,Income,Salary
2026-01-05,FPS RENT TO LANDLORD 0803,750.00,Expense,Rent
2026-01-02,UBR* #6CG1S2,8.33,Expense,Travel
2026-01-02,UBER TRIP NBLGU LIVERPOOL,8.20,Expense,Travel
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-05,RENT KA51E LANDLORD/3K,750.00,Expense,Rent
2026-01-04,CARD PAYMENT AMAZON S3J0EV,24.09,Expense,Shopping
2026-01-02,UBER TRIP MANCHESTER,8.40,Expense,Travel
2026-01-04,EU-UK  842ZS,24.99,Expense,Shopping
2026-01-02,UBR* MANCHESTER E0OAWH,8.82,Expense,Travel
2026-01-02,UBER  BV VSCQ,8.40,Expense,Travel
2026-01-03,pos txn costa coffee 808,4.65,Expense,Food & Drink
2026-01-02,UBR* MANCHESTER,8.46,Expense,Travel
2026-01-01,NETFLIX.COM 3OVU7P,12.99,Expense,Entertainment
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-05,BANK  TRF 19BP0 RENT,738.35,Expense,Rent
2026-01-04,AMZN  MKTP UK *UPB22O,24.99,Expense,Shopping
2026-01-02,UBER TRIP JGJT MANCHES,8.03,Expense,Travel
2026-01-01,NETFLIX Y3M8 GB,12.99,Expense,Entertainment
2026-01-04,AMAZON UK NWJ6P,24.99,Expense,Shopping
2026-01-03,POS stArBUCKS #299*3,4.63,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *B85LFO,25.82,Expense,Shopping
2026-01-04,AMZN EU-UK 3DGS9G,24.99,Expense,Shopping
2026-01-02,uBR* tRIP BIRmINGHM 8.40,8.40,Expense,Travel
2026-01-03,STARBUCKS STORE 028 BHM,4.65,Expense,Food & Drink
2026-01-04,CARD  PAYMENT AMAZON VTCDMW,24.99,Expense,Shopping
2026-01-01,NetFlIX.COM TNfw6S,12.99,Expense,Entertainment
2026-01-01,Netflix Vhm3K Gb,12.99,Expense,Entertainment
2026-01-05,RENT  9R6MGU LANDLORD,750.00,Expense,Rent
2026-01-03,COSTA  COFFEE #16559 3270,4.65,Expense,Food & Drink
2026-01-03,POS STARBUCKS #655,4.65,Expense,Food & Drink
2026-01-05,BANK TRF 5VO1T RENT,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *83PL LRS,24.99,Expense,Shopping
2026-01-03,STARBUCKS STORE 97929 BHM 8118,4.50,Expense,Food & Drink
2026-01-01,NETFLIX.COM J9UJE,12.91,Expense,Entertainment
2026-01-01,NETFLIX.COM QHPZ,12.99,Expense,Entertainment
2026-01-02,UBER TRIP KTF6LN LONDON,8.26,Expense,Travel
2026-01-03,POS TXN COSTA COFFEE 110 REF E88SE,4.65,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *YZ5Y,24.99,Expense,Shopping
2026-01-05,BANK TRF 4*FH06 RENT,750.00,Expense,Rent
2026-01-05,BANK TRF YRVE RENT ZQ#0X7,750.00,Expense,Rent
2026-01-04,CARD PMT AMAZON 1KDK,24.99,Expense,Shopping
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-02,UBER *TRIP LONDON,8.40,Expense,Travel
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-03,POS STARBUCKS #009,4.65,Expense,Food & Drink
2026-01-02,UBR* TRIP LIVERPOOL 8.40,7.99,Expense,Travel
2026-01-03,COSTA MANC 101,4.69,Expense,Food & Drink
2026-01-01,NETFLIX B#9OP GB/VXE,12.99,Expense,Entertainment
2026-01-02,UbER  BV QPEO,8.34,Expense,Travel
2026-01-05,BANK TRANSFER RENT,750.00,Expense,Rent
2026-01-02,UBER BV 980T REF s0I99,8.40,Expense,Travel
2026-01-02,UBR*  TRIP MANCHESTER #8.40 BVPX4,8.10,Expense,Travel
2026-01-02,UBER TRIP OTESU2,8.23,Expense,Travel
2026-01-06,BACS CRED*IT PAYROLL,2500.00,Income,Salary
2026-01-02,Ubr* Birminghm Jw,8.40,Expense,Travel
2026-01-03,STARBUCKS STORE 869 BHM,4.65,Expense,Food & Drink
2026-01-01,CARD* PAYMENT NETFLI,12.99,Expense,Entertainment
2026-01-04,AMAZON UK I9XDU,24.99,Expense,Shopping
2026-01-02,UBER  BIRMINGHM,8.40,Expense,Travel
2026-01-05,BANK GPZBOM RENT,750.00,Expense,Rent
2026-01-02,TRIP LONDON 8.40 EZ24,8.40,Expense,Travel
2026-01-05,BANK TRF G98GEY,750.00,Expense,Rent
2026-01-03,costa* 226 birm,4.81,Expense,Food & Drink
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-04,AMZN  EU-UK* SCP9K,24.99,Expense,Shopping
2026-01-01,NETFLI*X  T8SJ GB,12.64,Expense,Entertainment
2026-01-05,Rent Jj63Xv Landl*Ord/9X,750.00,Expense,Rent
2026-01-05,BANK TRF T3GN REN*T,750.00,Expense,Rent
2026-01-01,CARD PAYME,12.36,Expense,Entertainment
2026-01-04,AMZN MKTP UK *ZZ67,24.99,Expense,Shopping
2026-01-02,U*bER Trip NQAI BIRMINgHM,8.40,Expense,Travel
2026-01-05,STO RENT PMT REF F7MV,750.00,Expense,Rent
2026-01-01,NETFLIX  3ZA0C GYZIE,12.57,Expense,Entertainment
2026-01-03,COSTA COFFEE #0510 279,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM 3C60C,12.99,Expense,Entertainment
2026-01-03,COSTA BIRM 59989,4.57,Expense,Food & Drink
2026-01-04,AMZN EU-UK BMWMNO REF DDD2,24.99,Expense,Shopping
2026-01-02,UBR* TRIP 8.40,8.40,Expense,Travel
2026-01-01,netflix.com  *uk,12.99,Expense,Entertainment
2026-01-06,BACS  CREDIT PAYROLL NCC,2500.00,Income,Salary
2026-01-05,Fps Rent To Landlord Leok,767.79,Expense,Rent
2026-01-04,cARD  pAYMEnT aMAzOn 6pYmA1 44DV,25.17,Expense,Shopping
2026-01-01,NETFLIX.COM *U,12.99,Expense,Entertainment
2026-01-05,BANK TRANSFER RENT,719.15,Expense,Rent
2026-01-01,NETFLIX.COM  HE0SDP,12.99,Expense,Entertainment
2026-01-03,COSTA LDN 03021,4.45,Expense,Food & Drink
2026-01-01,Y#39CK GB,12.49,Expense,Entertainment
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-01,Netflix.Com L1Zumk,12.99,Expense,Entertainment
2026-01-01,NetFLIX sS5b08 Gb,12.99,Expense,Entertainment
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-04,AMZN EU-UK Q4O7VS/NT6,24.99,Expense,Shopping
2026-01-01,NETFLIX #73KL GB,13.55,Expense,Entertainment
2026-01-06,PAYROLL #6ULH,2507.26,Income,Salary
2026-01-05,FPS RENT LANDLORD,723.90,Expense,Rent
2026-01-03,STaRbUCkS LDN 39619,4.65,Expense,Food & Drink
2026-01-03,STARBUCKS LIVERPOOL 15603,4.44,Expense,Food & Drink
2026-01-01,NETFLIX.COM *UK PZJ42,12.99,Expense,Entertainment
2026-01-04,AMZN MKTP UK *JFUY0,25.98,Expense,Shopping
2026-01-04,AMAZON UK E*BO#2J3,24.99,Expense,Shopping
2026-01-05,STO  RENT PAYMENT,750.00,Expense,Rent
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-03,CARD PAYMENT STARBUCKS 6954,4.65,Expense,Food & Drink
2026-01-04,AMZN MKTP UK *8Y2W,24.09,Expense,Shopping
2026-01-01,NETFLIX.COM* T#1RKQ,12.99,Expense,Entertainment
2026-01-04,CARD PAYMENT AMAZON GQC5UM,24.99,Expense,Shopping
2026-01-06,EMPLOYER PAY 7OPKL,2500.00,Income,Salary
2026-01-04,AMZN MKTP UK *55JSYX,24.99,Expense,Shopping
2026-01-03,COSTA LDN #1673,4.65,Expense,Food & Drink
2026-01-02,UBR* TRIP LIVERPOOL 8.40,8.40,Expense,Travel
2026-01-05,FPS RENT TO LANDLORD/0BIL,750.00,Expense,Rent
2026-01-05,BANK CJ9K4 RENT,750.00,Expense,Rent
2026-01-03,CARD  PMT STARBUCKS 822,4.65,Expense,Food & Drink
2026-01-04,AMZN  MKTP UK *CKNC7G,24.99,Expense,Shopping
2026-01-01,NETFLIX.COM *UK,12.68,Expense,Entertainment
2026-01-04,AMZN MKTP UK *I5P2QF,24.99,Expense,Shopping
2026-01-03,ldn 06958,4.87,Expense,Food & Drink
2026-01-05,STO PMT,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *3HKK54,25.44,Expense,Shopping
2026-01-05,Sto Rent Payment,750.00,Expense,Rent
2026-01-01,NETfLiX C781 gB,13.04,Expense,Entertainment
2026-01-05,BANK TRANSFER RENT,769.77,Expense,Rent
2026-01-05,BANK TRF 74OCX RENT,750.00,Expense,Rent
2026-01-02,UBER EKGVZP BIRMINGHM,8.40,Expense,Travel
2026-01-02,UBER *TRIP BIRMINGHM,8.12,Expense,Travel
2026-01-06,SAlARY 5AWL,2500.00,Income,Salary
2026-01-02,UBER BV O0SW5,8.43,Expense,Travel
2026-01-05,STO  RENT PAYMENT,750.00,Expense,Rent
2026-01-03,STARBUCKS STORE 48652 LEEDS,4.82,Expense,Food & Drink
2026-01-05,Fps Rent To Landlord,750.00,Expense,Rent
2026-01-03,POS TXN COSTA COFFEE 45682,4.76,Expense,Food & Drink
2026-01-03,starbucks store 8318 mcr,4.66,Expense,Food & Drink
2026-01-02,ubr* trip liver,8.73,Expense,Travel
2026-01-04,AMAZON  UK NDJU3,24.99,Expense,Shopping
2026-01-01,NETFLIX.COM *UK,13.12,Expense,Entertainment
2026-01-02,UBER 1G4EA,8.69,Expense,Travel
2026-01-02,UBER A38K0 LIVERP,8.40,Expense,Travel
2026-01-04,AMZN MKTP UK *TIMLYT,24.99,Expense,Shopping
2026-01-01,CARD PAYMENT NETFLI*X,12.77,Expense,Entertainment
2026-01-05,RENT  HTP5 LANDLORD,750.00,Expense,Rent
2026-01-06,PAYROLL L*CGQ,2500.00,Income,Salary
2026-01-06,BACS VO79 SALARY,2500.00,Income,Salary
2026-01-05,BANK TRF A63YMD RENT,750.00,Expense,Rent
2026-01-02,UBER BV LZMS#8,8.40,Expense,Travel
2026-01-01,NETFLIX.COM,12.66,Expense,Entertainment
2026-01-02,UBER TRIP 8MA30 LONDON,8.40,Expense,Travel
2026-01-03,COSTA COFFEE #125 324,4.74,Expense,Food & Drink
2026-01-02,UBER TRIP M2CA LIVERPOOL,8.72,Expense,Travel
2026-01-02,Uber *Trip Manchester,8.40,Expense,Travel
2026-01-05,BANK TRANSFER RENT V27,750.00,Expense,Rent
2026-01-05,RENT 51M4I LANDLORD,750.00,Expense,Rent
2026-01-05,Fps Rent To Landlord,750.00,Expense,Rent
2026-01-06,SALARY CREDI*T GEEJ,2500.00,Income,Salary
2026-01-03,cOStA CoFfeE #046 REf FOj7O,4.65,Expense,Food & Drink
2026-01-05,RENT OTBM,750.00,Expense,Rent
2026-01-01,NETFLIX.COM OFE2J5/R,12.99,Expense,Entertainment
2026-01-06,SALARY CREDIT AYPWLI,2500.00,Income,Salary
2026-01-04,amzn  mktp uk *7d2to1,25.02,Expense,Shopping
2026-01-01,NETFLIX.COM DBK4EP,12.69,Expense,Entertainment
2026-01-01,Card Payment Netflix 9109,12.99,Expense,Entertainment
2026-01-05,BANK TRF ER70 RENT 580,750.00,Expense,Rent
2026-01-04,Amazon Uk W2Xc 578,24.99,Expense,Shopping
2026-01-04,AMZN  EU-UK LEI#6WG X6EB,24.99,Expense,Shopping
2026-01-06,SALARY  CREDIT 07PMEX,2500.00,Income,Salary
2026-01-04,AMZN EU-UK K#3AWLA,24.99,Expense,Shopping
2026-01-03,COSTA BIRM,4.65,Expense,Food & Drink
2026-01-05,Fps  Rent To Landlord,750.00,Expense,Rent
2026-01-04,AMAZON UK UG8XJ,25.93,Expense,Shopping
2026-01-06,CREDIT PAYROLL D05,2500.00,Income,Salary
2026-01-03,COSTA COFFEE #,4.48,Expense,Food & Drink
2026-01-02,UBER  TRIP IEOPTS LONDON,8.74,Expense,Travel
2026-01-02,ubr* london 0t2q8b,8.40,Expense,Travel
2026-01-03,COSTA* 289 BIRM,4.65,Expense,Food & Drink
2026-01-06,SALARY CREDIT 98X1 REF V33LI,2500.00,Income,Salary
2026-01-03,Starbucks #485 Ldn,4.65,Expense,Food & Drink
2026-01-05,FPs reNT TO LAndLORD REF bCDq,750.00,Expense,Rent
2026-01-05,fps rent to landlord,750.00,Expense,Rent
2026-01-02,UBER*  BV MNIA2Y,8.40,Expense,Travel
2026-01-04,Amzn Mktp *Pcza Ref #43Xr,24.99,Expense,Shopping
2026-01-06,SALARY CREDIT 0992,2500.00,Income,Salary
2026-01-02,UBER *TRIP LONDON REF,8.31,Expense,Travel
2026-01-04,amzn mktp uk *3c3zqx,24.99,Expense,Shopping
2026-01-04,AMZN  MKTP UK *GTX#7,24.22,Expense,Shopping
2026-01-05,FPS RENT TO LANDLORD,750.00,Expense,Rent
2026-01-01,Netflix.Com Grnj3 8Xv,12.99,Expense,Entertainment
2026-01-01,CARD  PAYMENT NETFLIX RIO,12.99,Expense,Entertainment
2026-01-03,COSTA COFFEE #93101 027,4.65,Expense,Food & Drink
2026-01-05,RENT 7A1RBR LANDLORD REF X8J5MS,750.00,Expense,Rent
2026-01-04,AMZN MKTP UK *CVGFG,24.99,Expense,Shopping
2026-01-06,sALary CreDiT dUGaA,2500.00,Income,Salary
2026-01-01,NETFLIX.COM BOO#703,12.99,Expense,Entertainment
2026-01-04,AMAZON  UK H5HO,24.99,Expense,Shopping
2026-01-01,CARD PMT NETFLIX WUGZB,12.81,Expense,Entertainment
2026-01-01,CARD PMT NETFLIX* 286,12.99,Expense,Entertainment
2026-01-01,NETFLIX ONTQ GB REF DNSVBC,12.99,Expense,Entertainment
2026-01-06,SALARY CREDIT 6VIAR,2500.00,Income,Salary
2026-01-05,RENT H1Y3B LA*NDLORD/Y5SR,750.00,Expense,Rent
2026-01-06,BACS U1SWYU SAL,2500.00,Income,Salary
2026-01-02,UBER YILY,8.71,Expense,Travel
2026-01-04,AMZN EU-UK EQ4AW8,24.99,Expense,Shopping
2026-01-05,bank transfer rent ref tx#134,750.00,Expense,Rent
2026-01-05,BANK TRANSFER RENT,750.00,Expense,Rent
2026-01-05,Bank Trf #20Bq Rent,750.00,Expense,Rent
2026-01-05,FPS RENT TO L,750.00,Expense,Rent
2026-01-06,BACS CREDIT pAYROLL,2500.00,Income,Salary
2026-01-05,STO  RENT,750.00,Expense,Rent
2026-01-03,CARD PAYMENT STARBUCKS 7521,4.65,Expense,Food & Drink
2026-01-04,Amazo*N Uk L8Xc,24.99,Expense,Shopping
2026-01-05,sto payment/6x14,750.00,Expense,Rent
2026-01-04,AMAZON UK #30V0V,24.30,Expense,Shopping
2026-01-03,STARBUCKS,4.65,Expense,Food & Drink
2026-01-03,COSTA COF,4.56,Expense,Food & Drink
2026-01-04,amzn mktp uk *7zfcty,25.26,Expense,Shopping
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-02,UBER TRIP #9ZVW LIVERPOOL 305,8.40,Expense,Travel
2026-01-01,NETFLIX PCOC GB,12.99,Expense,Entertainment
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-06,BACS CREDIT PAYROLL,2500.00,Income,Salary
2026-01-01,Netflix.Com  *Uk,12.99,Expense,Entertainment
2026-01-05,STO RENT PAYM*ENT,750.00,Expense,Rent
2026-01-06,BACS EM#9N SALARY,2500.00,Income,Salary
2026-01-06,SALARY CREDIT LPJZ80,2500.00,Income,Salary
2026-01-03,POS  TXN COSTA COFFEE 46539,4.65,Expense,Food & Drink
2026-01-01,NETFLIX VPIG GB,12.99,Expense,Entertainment
2026-01-03,POS TXN COSTA COFFEE 53116 CVFV2,4.65,Expense,Food & Drink
2026-01-04,AMAZON UK EA32,24.74,Expense,Shopping
2026-01-02,UBER LON*DON,8.40,Expense,Travel
2026-01-06,BACS N74P SALARY,2500.00,Income,Salary
2026-01-04,CARD PMT A,24.99,Expense,Shopping
2026-01-04,AMZN MKTP UK *EIV6,25.45,Expense,Shopping
2026-01-05,FPS  RENT TO LANDLORD,750.00,Expense,Rent
2026-01-02,UBR* MANCHESTER NBZ9,8.63,Expense,Travel
2026-01-04,AMAZON UK IAW#7FO/NE,24.99,Expense,Shopping
2026-01-04,AMZN  MKTP UK *OMLF,24.99,Expense,Shopping
2026-01-02,UBR* TRIP BIRMINGHM 8.40 CVV57,8.40,Expense,Travel
2026-01-02,UBER  *TRIP BIRMINGHM,8.40,Expense,Travel
2026-01-04,amzn mktp uk *9fsv5q,24.99,Expense,Shopping
2026-01-02,UBER BV S04LX5,8.41,Expense,Travel
2026-01-04,AMZN EU-UK AO4H86,24.99,Expense,Shopping
2026-01-04,amzn eu-uk e0hr ref wqyt39,24.99,Expense,Shopping
2026-01-05,BANK TRANSFER RENT,750.00,Expense,Rent
2026-01-01,CARD NETFLIX,13.35,Expense,Entertainment
2026-01-04,amzn  eu-uk 6i6s7p/lso,24.99,Expense,Shopping
2026-01-03,CARD PAYMENT STARBUCKS 334 0UP,4.65,Expense,Food & Drink
2026-01-06,EmPLOYER PaY 693P/R1S,2500.00,Income,Salary
2026-01-01,NETFLIX 0UTX7 GB 2KJ,12.99,Expense,Entertainment
2026-01-01,NETFLIX.COM WIH73P,12.52,Expense,Entertainment
2026-01-01,NETFLIX.COM G8B24,13.46,Expense,Entertainment
2026-01-05,STO  REN*T PAYMENT,750.00,Expense,Rent
2026-01-04,card payment amazon m1xrp,24.99,Expense,Shopping
2026-01-05,STO  RENT PAYMENT,750.00,Expense,Rent
2026-01-04,Card Payment C5Aa,24.31,Expense,Shopping
2026-01-05,RENT W8A2 LANDLORD,750.00,Expense,Rent
2026-01-05,Fps Rent To Landlord,750.00,Expense,Rent
2026-01-06,BACS DCLV SAL,2469.45,Income,Salary
2026-01-03,STARBUCKS #516 GLASGOW,4.50,Expense,Food & Drink
2026-01-05,STO RENT PAYMENT,750.00,Expense,Rent
2026-01-06,payroll mgn8,2500.00,Income,Salary
2026-01-02,UBER BV 4ZF51,8.75,Expense,Travel
2026-01-03,pos txn costa coffee 9752,4.64,Expense,Food & Drink
2026-01-05,RENT D4YSD LANDLORD,750.00,Expense,Rent
2026-01-01,NETFLIX JHEEK2 GB,13.55,Expense,Entertainment
2026-01-02,UBR* TRIP LIVERPOOL 8.40,8.40,Expense,Travel
2026-01-02,UBER BV AOZUJV,8.40,Expense,Travel
2026-01-06,BACS  CREDIT PAYROLL,2500.00,Income,Salary
2026-01-02,ubr*  trip birminghm #8.40,8.68,Expense,Travel
2026-01-03,STARbUCKS LEeDs 1870,4.65,Expense,Food & Drink
2026-01-05,Fps Rent To L,750.00,Expense,Rent
2026-01-05,BANK TRF T3M9G RENT,750.00,Expense,Rent
2026-01-01,NETFLIX.COM *UK,12.99,Expense,Entertainment
2026-01-06,BACS  CREDIT PAYROLL,2500.00,Income,Salary
2026-01-01,CARD PAYMENT NETFLIX REF SMVV,12.75,Expense,Entertainment
2026-01-02,UBER BV TE#32PE,8.50,Expense,Travel
2026-01-01,NETFLIX.COM *UK/1R,12.99,Expense,Entertainment
2026-01-03,CARD  PAYMENT STARBUCKS 28584,4.65,Expense,Food & Drink
2026-01-05,BANK TRF VTFHA RENT,750.00,Expense,Rent
2026-01-02,UBR* LIVERP,8.36,Expense,Travel
2026-01-01,NETFLIX F2YKGI GB,12.99,Expense,Entertainment
2026-01-06,EMPLOYER PAY ADQ7/NH4,2500.00,Income,Salary
2026-01-03,STARBUCKS #3724 LDN,4.65,Expense,Food & Drink
2026-01-03,STARBUCKS GLASGOW,4.65,Expense,Food & Drink
2026-01-01,NETFLIX.COM MXX1 WHIF,12.99,Expense,Entertainment
2026-01-05,Sto Rent Pmt Zdxhy,750.00,Expense,Rent
2026-01-01,NETFLIX KP555 GB,12.99,Expense,Entertainment
2026-01-02,UBER TRIP F3UZ BIRM*INGHM 531,8.73,Expense,Travel
2026-01-01,Netflix.Com *Uk,12.41,Expense,Entertainment
2026-01-03,COSTA* 687 LDN,4.65,Expense,Food & Drink
2026-01-01,netflix #15h9h gb,12.91,Expense,Entertainment
2026-01-05,BANK TRF RENT,750.00,Expense,Rent
2026-01-06,SALARY  CREDIT JCKJC,2500.00,Income,Salary
2026-01-04,CARD  PMT AMAZON KD4QJ,24.99,Expense,Shopping
2026-01-01,NETFLiX.Com UQ3P,13.52,Expense,Entertainment
2026-01-05,Sto Rent Pmt/Mf,750.00,Expense,Rent
2026-01-05,BANK TRF Q#0,750.00,Expense,Rent
